Hole,Par,Index,Yardage,Strokes,Putts,Tee Shot,Slope,Course
1,4,13,348,,,,134,72.3
2,3,17,145,,,,,
3,5,11,509,,,,,
4,4,1,438,,,,,
5,3,15,159,,,,,
6,4,3,417,,,,,
7,4,5,362,,,,,
8,5,9,495,,,,,
9,4,7,384,,,,,
10,4,10,380,,,,,
11,4,6,354,,,,,
12,5,18,464,,,,,
13,3,12,170,,,,,
14,4,4,393,,,,,
15,3,14,155,,,,,
16,5,16,505,,,,,
17,5,8,502,,,,,
18,4,2,443,,,,,
